全国(163),,,,,,,,,,,,,,,,,,,,,
北海道(21),はやきた和牛,知床牛,十勝和牛,北勝牛,みついし牛,ふらの大地和牛,ふらの和牛,かみふらの和牛,北海道和牛,北見和牛,びらとり和牛,生田原高原和牛,白老牛,音更町すずらん和牛,北海道オホーツクあばしり和牛,とうや湖和牛,流氷牛,つべつ和牛,十勝ナイタイ和牛,宗谷黒牛,大雪高原牛
青森県(2),あおもり倉石牛,あおもり十和田湖和牛,,,,,,,,,,,,,,,,,,,
岩手県(9),前沢牛,いわて牛,いわて奥州牛,いわて短角和牛,江刺牛,岩手しわ牛,岩手とうわ牛,いわてきたかみ牛,いわて南牛,,,,,,,,,,,,
秋田県(6),秋田牛,かづの牛,三梨牛,秋田由利牛,秋田錦牛,羽後牛,,,,,,,,,,,,,,,
宮城県(5),仙台牛,若柳牛,石越牛,はさま牛,三陸金華和牛,,,,,,,,,,,,,,,,
山形県(3),米沢牛,尾花沢牛,山形牛,,,,,,,,,,,,,,,,,,
福島県(3),福島牛,飯舘牛,うねめ牛,,,,,,,,,,,,,,,,,,
茨城県(7),筑波和牛,つくば山麓,飯村牛,常陸牛,紫峰牛,紬牛,花園牛,,,,,,,,,,,,,,
栃木県(6),とちぎ和牛,とちぎ高原和牛,おやま和牛,那須和牛,かぬま和牛,さくら和牛,,,,,,,,,,,,,,,
群馬県(1),上州和牛,,,,,,,,,,,,,,,,,,,,
埼玉県(2),武州和牛,深谷牛,,,,,,,,,,,,,,,,,,,
千葉県(5),かずさ和牛,みやざわ和牛,しあわせ満天牛,美都牛,までい牛,,,,,,,,,,,,,,,,
東京都(2),秋川牛,東京黒毛和牛,,,,,,,,,,,,,,,,,,,
神奈川県(8),葉山牛,横濱ビーフ,市場発横浜牛,やまゆり牛,足柄牛,相州牛,相州和牛,さがみ牛,,,,,,,,,,,,,
山梨県(3),甲州牛,甲州産和牛,甲州ワインビーフ,,,,,,,,,,,,,,,,,,
長野県(3),阿智黒毛和牛,北信州美雪和牛,りんごで育った信州牛,,,,,,,,,,,,,,,,,,
新潟県(1),にいがた和牛,,,,,,,,,,,,,,,,,,,,
富山県(2),とやま和牛,氷見牛,,,,,,,,,,,,,,,,,,,
石川県(1),能登牛,,,,,,,,,,,,,,,,,,,,
福井県(1),若狭牛,,,,,,,,,,,,,,,,,,,,
静岡県(5),遠州夢咲牛,特選和牛静岡そだち,しずおか和牛,伊豆牛,食通の静岡牛,,,,,,,,,,,,,,,,
愛知県(4),みかわ牛,安城和牛,鳳来牛,知多牛,,,,,,,,,,,,,,,,,
岐阜県(1),飛騨牛,,,,,,,,,,,,,,,,,,,,
三重県(5),松阪牛,みえ黒毛和牛,鈴鹿山麓和牛,伊賀牛,加茂牛,,,,,,,,,,,,,,,,
滋賀県(1),近江牛,,,,,,,,,,,,,,,,,,,,
京都府(4),京都肉,京の肉,亀岡牛,丹波牛,,,,,,,,,,,,,,,,,
大阪府(3),大阪ウメビーフ,能勢黒牛,なにわ黒牛,,,,,,,,,,,,,,,,,,
奈良県(1),大和牛,,,,,,,,,,,,,,,,,,,,
和歌山県(1),熊野牛,,,,,,,,,,,,,,,,,,,,
兵庫県(10),神戸ビーフ,但馬牛,三田牛,丹波篠山牛,神戸ワインビーフ,淡路ビーフ,加古川和牛,黒田庄和牛,湯村温泉但馬ビーフ,本場但馬牛,,,,,,,,,,,
鳥取県(3),鳥取和牛,東伯和牛,万葉牛,,,,,,,,,,,,,,,,,,
島根県(4),潮凪牛,いずも和牛,石見和牛肉,島生まれ島育ち隠岐牛,,,,,,,,,,,,,,,,,
岡山県(3),つやま和牛,おかやま和牛肉,千屋牛,,,,,,,,,,,,,,,,,,
広島県(1),広島牛,,,,,,,,,,,,,,,,,,,,
山口県(4),皇牛,高森和牛,見島牛※日本在来牛,高森交雑牛,,,,,,,,,,,,,,,,,
香川県(2),讃岐牛,オリーブ牛,,,,,,,,,,,,,,,,,,,
徳島県(1),阿波牛,,,,,,,,,,,,,,,,,,,,
愛媛県(1),伊予うし,,,,,,,,,,,,,,,,,,,,
高知県(1),土佐あかうし,,,,,,,,,,,,,,,,,,,,
福岡県(2),小倉牛,筑穂牛,,,,,,,,,,,,,,,,,,,
佐賀県(2),佐賀牛,佐賀産和牛,,,,,,,,,,,,,,,,,,,
長崎県(5),長崎和牛,平戸牛,雲仙牛,壱岐牛,五島牛,,,,,,,,,,,,,,,,
大分県(1),The・おおいた豊後牛,,,,,,,,,,,,,,,,,,,,
熊本県(1),くまもと黒毛和牛,,,,,,,,,,,,,,,,,,,,
宮崎県(1),宮崎牛,,,,,,,,,,,,,,,,,,,,
鹿児島県(1),鹿児島黒牛,,,,,,,,,,,,,,,,,,,,
沖縄県(4),石垣牛,おきなわ和牛,もとぶ牛,宮古牛,,,,,,,,,,,,,,,,,
